displayName,brand,parentProductId,category,skuId,quantityDescription,imageIds,currencyCode,mrp,offerPrice
Amul Fresh Paneer,Amul,4IP9IG1X1L,Paneer and Cream,Z6YKHUZGDJ,200 g x 2,,,,
iD Fresh Soft & Creamy Paneer,iD Fresh,OBX9EZN2O3,Paneer and Cream,K59API806J,200 g,,,,
Amul Fresh Paneer,Amul,4IP9IG1X1L,Paneer and Cream,DT43F2TFR1,200 g,,,,
Nandini GoodLife Toned Milk,Nandini,I26G0MC280,Milk,XD9Q7YRD0P,500 ml x 2,,,,
Amul Taaza Toned Milk,Amul,K0BWRQZDTA,Milk,Y7OUJ3MGFQ,1 ltr x 12,,,,
Nandini GoodLife Toned Milk,Nandini,I26G0MC280,Milk,HA6I63D7ZM,1 ltr x 12,,,,
Amul Masti Spiced Buttermilk,Amul,4M0KBVDIZT,Milk Based Drinks,2A6JLCL9S1,200 ml,,,,
Amul Masti Spiced Buttermilk,Amul,V9AFPJ00Y7,Milk Based Drinks,11QFV3ZMBB,1 ltr,,,,
Fresh Eggs White eggs,Fresh Eggs,P3Z8MLP18R,Eggs,77TXG81H6Q,12 Pieces,,,,
Licious Classic Eggs,Licious,N3JGLAZERA,Eggs,XQQHM3L2GV,12 Pieces x 2,,,,
Nandini GoodLife Toned Milk,Nandini,I26G0MC280,Milk,Q2DM70Q98U,500 ml,,,,
Nandini GoodLife Toned Milk,Nandini,I26G0MC280,Milk,7GMH019GDY,1 ltr,,,,
Licious Classic Eggs,Licious,N3JGLAZERA,Eggs,SDQPPLQPI5,12 Pieces,,,,
Fresh Eggs White eggs,Fresh Eggs,6238P1CQ57,Eggs,MYYKVVKKKI,6 Pieces,,,,
iD Fresh Soft & Creamy Paneer,iD Fresh,OBX9EZN2O3,Paneer and Cream,9JRWNTJN2V,200 g x 2,,,,
Heritage Special Milk,Heritage,P758ELZTCX,Milk,X0JGDN06D8,450 ml,,,,
Hocco Hazelnut Mudslide Cone Ice Cream,Hocco,HUUMLIWVJH,Ice Creams,JXFY96WZUZ,135 ml,NI_CATALOG/IMAGES/CIW/2025/7/17/34d605e2-d400-4eca-8654-1bc400e8958e_79288_1.png,,,
Onion (Eerulli),Fruits and Vegetables,TXX0TEK4FU,Vegetables,3K4IJLW5DH,1 kg,NI_CATALOG/IMAGES/CIW/2026/3/24/a571cc74-b070-43d5-8578-d414312f0551_2116_1.jpg,INR,36,29
